no,tag,key,str
0,타입,질문,답변
1,문의,문의기본,"안녕하세요. 미건철물장식입니다.

확인해 보시고 궁금하신점이 있으시면 언제든지 문의주세요^^ 감사합니다!"
2,반품,반품접수안내,"[미건철물장식] 반품안내
반품 접수 및 수거요청이 완료 되었습니다.

-반품 상품은 사은품(피스 등)과 함께 안전포장하여 기사님께 부탁 드립니다.
-설치용 피스 포함 상품 누락 시 미리 연락 주세요. 임의 누락 시 환불이 어렵거나 추가금이 발생합니다.
-반품배송비는 왕복 기준 5,500원이며 지역에 따라 차등적용 됩니다.
-1~2일 이내 수거되며, 늦어질 시 연락 주시면 즉시 처리해 드립니다.
-안심번호 사용 시 수거가 지연될 수 있습니다. 미리 업체로 연락 주세요.
-수거지 변경/직접 반품 등은 CJ대한통운을 통해 착불로 보내주실 수 있으며 이외 택배사 이용 시 거절될 수 있습니다.
-추가 배송비나 상품 누락 파손 등 발생 시 반품이 거절될 수 있습니다.
-설치,규격 등으로 어려우신 경우 연락주시면 친절히 안내해 드리겠습니다.

궁금하신점이 있으시면 언제든지 문의 주세요^^ 감사합니다!"
3,반품,반품접수안내(명절지연),"[미건철물장식] 반품안내
반품 접수 및 수거요청이 완료 되었습니다.
연휴기간 택배사 사정으로 일부 지역 수거는 연휴 이후로 미뤄질 수 있으니 양해 부탁 드립니다.

-반품 상품은 사은품(피스 등)과 함께 안전포장하여 기사님께 부탁 드립니다.
-설치용 피스 포함 상품 누락 시 미리 연락 주세요. 임의 누락 시 환불이 어렵거나 추가금이 발생합니다.
-반품배송비는 왕복 기준 5,500원이며 지역에 따라 차등적용 됩니다.
-1~2일 이내 수거되며, 늦어질 시 연락 주시면 즉시 처리해 드립니다.
-안심번호 사용 시 수거가 지연될 수 있습니다. 미리 업체로 연락 주세요.
-수거지 변경/직접 반품 등은 CJ대한통운을 통해 착불로 보내주실 수 있으며 이외 택배사 이용 시 거절될 수 있습니다.
-추가 배송비나 상품 누락 파손 등 발생 시 반품이 거절될 수 있습니다.
-설치,규격 등으로 어려우신 경우 연락주시면 친절히 안내해 드리겠습니다.

궁금하신점이 있으시면 언제든지 문의 주세요^^ 감사합니다!"
4,문의,백색안내,"안녕하세요. 미건철물장식입니다.

문의하신 상품은 백색레일로 예상됩니다.

백색레일은 두께11~13mm인 제품으로, 서랍과 서랍장 사이 틈새공간이 이에 해당하는 가구에 사용하실 수 있습니다.(두께가 다를 경우 호환되지 않습니다)

길이는 레일을 합쳤을때의 길이로 백색레일의 경우 동일한 길이 2개로 되어 있어 하나만 측정해 보셔도 됩니다.

서랍레일 백색/2단/3단/광폭/댐핑 https://smartstore.naver.com/migundiy/products/329125761

확인해 보시고 궁금하신점이 있으시면 언제든 문의주세요^^"
5,문의,2단일반안내,"안녕하세요. 미건철물장식입니다.

문의하신 상품은 2단볼레일 일반형으로 예상됩니다.

2단볼레일은 두께 10mm, 폭 27mm인 제품으로 일반적인 사이즈이며, 서랍과 서랍장 사이 틈새공간이 좌우 각각 10mm인 가구에 사용하실 수 있으니 구입 전 체크해 보시기 바랍니다.(폭이나 두께가 다를 경우 호환되지 않습니다)

길이는 레일을 합쳤을때의 길이로 2단레일의 경우 동일한 길이 2개로 되어 있어 하나만 측정해 보셔도 됩니다.

2단볼레일- https://smartstore.naver.com/migundiy/products/3206917117

확인해 보시고 궁금하신점이 있으시면 언제든 문의주세요^^"
6,문의,2단날개안내,"안녕하세요. 미건철물장식입니다.

문의하신 상품은 2단볼레일 날개형으로 예상됩니다.

2단날개형은 두께 10mm, 폭 27mm인 제품으로, 서랍과 서랍장 사이 틈새공간이 좌우 각각 10mm인 가구에 사용하실 수 있습니다.(폭이나 두께가 다를 경우 호환되지 않습니다)
날개형은 서랍 하단에서 받쳐줄 수 있도록 날개가 있는 레일로 일부 2단볼레일 일반형과 호환 가능합니다.

길이는 레일을 합쳤을때의 길이로 2단날개형의 경우 동일한 길이 2개로 되어 있어 하나만 측정해 보셔도 됩니다.

2단볼레일- https://smartstore.naver.com/migundiy/products/3206917117

확인해 보시고 궁금하신점이 있으시면 언제든 문의주세요^^"
7,문의,3단레일안내,"안녕하세요. 미건철물장식입니다.

문의하신 상품은 3단볼레일로 예상됩니다.

3단볼레일은 폭에 따라 35mm일반형과 45mm광폭형이 있습니다. 레일을 모두 포갠 상태(서랍 닫은 상태)를 기준으로 측정하며, 가장 넓은 레일만 측정해 보셔도 됩니다. 두께는 모두 13mm로, 서랍과 서랍장 사이 틈새공간이 좌우 각각 13mm인 가구에 사용하실 수 있습니다.(폭이나 두께가 다를 경우 호환되지 않습니다) 

두께기준은 3단의 레일을 모두 합친 상태이며, 제품마다 다르나 프레임 하나 기준 약10mm정도로 측정됩니다.

길이는 레일을 합쳤을때의 길이로 3단레일의 경우 동일한 길이 3개로 되어 있어 이 중 하나만 측정해 보셔도 됩니다.

서랍레일 백색/2단/3단/광폭/댐핑 https://smartstore.naver.com/migundiy/products/329125761

확인해 보시고 궁금하신점이 있으시면 언제든 문의주세요^^"
8,문의,3단날개안내,"안녕하세요. 미건철물장식입니다.

문의하신 상품은 3단볼레일 날개형으로 예상됩니다.

3단날개형은 두께 13mm, 폭 35mm인 제품으로, 서랍과 서랍장 사이 틈새공간이 좌우 각각 13mm인 가구에 사용하실 수 있습니다.(폭이나 두께가 다를 경우 호환되지 않습니다)

두께기준은 3단의 레일을 모두 합친 상태이며, 제품마다 다르나 프레임 하나 기준 약10mm정도로 측정됩니다.
날개형은 서랍 하단에서 받쳐줄 수 있도록 날개가 있는 레일로 일부 3단볼레일 일반형과 호환 가능합니다.

길이는 레일을 합쳤을때의 길이로 3단날개형의 경우 동일한 길이 3개로 되어 있어 하나만 측정해 보셔도 됩니다.

서랍레일 백색/2단/3단/광폭/댐핑 https://smartstore.naver.com/migundiy/products/329125761

확인해 보시고 궁금하신점이 있으시면 언제든 문의주세요^^"
9,안내,발주/계좌안내,"[미건철물장식] 상품 수량, 배송비(2,500원) 및 설치용 피스 포함, 총 금액 원입니다.
입금계좌는 기업 010-2794-9795 박상은 입니다.
확인해보시고 입금하신 후 받으실 분 성함/주소/연락처 부탁드립니다^^ 감사합니다!"
